,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Protéine,Sel,Catégorie
0,Frites (Moyenne),309 kcal,"13,00g","4,100g","46,00g","0,20g","3,80g","0,80g",Accompagnement
1,Steakhouse Burger,829 kcal,"51,00g","21,000g","54,00g","15,00g","37,00g","3,30g",Plat
2,Onion Rings (6),251 kcal,"11,00g","1,300g","35,00g","2,80g","4,30g","1,10g",Accompagnement
3,King Fries Cheese & Bacon,538 kcal,"26,00g","11,000g","66,00g","2,30g","12,00g","1,80g",Accompagnement
4,Frites (Grande),423 kcal,"18,00g","5,700g","63,00g","0,50g","5,30g","0,64g",Accompagnement
5,Chili Cheese Nugget ,531 kcal,"32,00g","11,000g","46,00g","2,50g","16,00g","2,50g",Accompagnement
6,King Nuggets,257 kcal,"13,00g","1,700g","22,00g","20,00g","15,00g","1,50g",Plat
7,Cheeseburger,305 kcal,"13,00g","5,900g","29,00g","6,20g","16,00g","1,70g",Plat
8,Petite Frite,240 kcal,"10,00g","3,200g","35,90g","0,20g","3,00g","0,70g",Accompagnement
9,Chicken Louisiane Steakhouse,846 kcal,"46,00g","15,000g","68,00g","15,00g","38,00g","4,60g",Plat
10,Whopper,629 kcal,"35,20g","9,400g","48,50g","11,70g","28,20g","6,25g",Plat
11,Crispy Chicken,441 kcal,"24,80g","3,900g","36,60g","4,70g","17,20g",-,Plat
12,Double Steakhouse,1134 kcal,"74,00g","33,000g","55,00g","16,00g","61,00g","4,30g",Plat
13,Wrap Chicken Louisiane ,726 kcal,"44,00g","13,000g","53,00g","6,50g","23,00g","3,20g",Plat
14,King Fries Cheese & Crispy Onions,528 kcal,"26,00g",-,"62,20g",-,"9,10g",-,Accompagnement
15,Big King ,482 kcal,"28,00g","12,000g","30,00g","6,30g","27,00g","2,40g",Plat
16,Chicken Wings,543 kcal,"36,00g","8,900g","10,00g","1,10g","45,00g","3,90g",Plat
17,Master Poulet,882 kcal,"48,00g","12,000g","72,00g","12,00g","36,00g","3,30g",Plat
18,Crousty Chèvre ,248 kcal,"18,00g","6,800g","20,00g","0,50g","7,30g","1,10g",Accompagnement
19,Big King XXL,964 kcal,"59,00g","25,000g","49,00g","12,00g","56,00g","4,40g",Plat
20,Onion Rings,279 kcal,"12,70g","1,500g","38,40g","3,10g","4,80g","3,00g",Accompagnement
21,Double Cheese,440 kcal,"23,00g","11,000g","29,00g","6,60g","27,00g","2,30g",Plat
22,Double Cheese Bacon XXL ,932 kcal,"55,00g","26,000g","48,00g","11,00g","60,00g","4,70g",Plat
23,Triple Cheese,585 kcal,"34,20g","17,400g","29,90g","7,00g","37,60g","7,25g",Plat
