,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
0,Tenders,337 kcal,"19,80g","1,000g","17,05g","0,50g","0,5g","22,60g","1,43g",Plat
1,Frites (Petite),259 kcal,"12,00g","1,000g","12,00g","1,00g","2,0g","4,00g","0,00g",Accompagnement
2,Frites (Normale),288 kcal,"14,00g","1,000g","35,00g","1,00g","3,0g","4,00g","0,00g",Accompagnement
3,Tenders 5,400 kcal,"17,00g","2,000g","26,00g","0,10g","0,5g","37,00g","0,08g",Plat
4,Frites (Grande),403 kcal,"19,00g","2,000g","50,00g","1,00g","4,0g","6,00g","2,50g",Accompagnement
5,Colonel Original,712 kcal,"40,00g","7,000g","51,00g","12,00g","3,0g","35,00g","2,78g",Plat
6,Boxmaster Original,737 kcal,"36,00g","5,000g","73,00g","3,00g","5,0g","28,00g","4,00g",Plat
7,Tenders,306 kcal,"18,00g","1,700g","15,50g","0,50g","0,5g","20,60g","1,30g",Plat
8,Sauce Caesar,77 kcal,"6,00g","1,000g","5,00g","4,00g","0,0g","0,00g","0,00g",Sauce
9,Kentucky Fries,662 kcal,"39,00g","10,000g","61,00g","3,00g","5,0g","15,00g","2,00g",Accompagnement
10,Tower Original,723 kcal,"38,00g","5,000g","64,00g","11,00g","3,0g","30,00g","5,00g",Plat
11,Sauce Smoky BBQ,42 kcal,"0,00g","0,000g","10,00g","8,00g",,"0,10g","0,00g",Sauce
12,Sauce Original Recipe ,90 kcal,"2,00g","1,000g","3,00g","0,00g","0,0g","1,00g","5,00g",Plat
13,Muffin Nutella,415 kcal,"24,00g","4,000g","47,00g","32,00g","1,0g","3,00g","1,00g",Dessert
14,Kentucky Burger,733 kcal,"36,40g","13,800g","58,80g","12,30g","4,4g","40,60g","3,90g",Plat
15,Crispy Club Wrap,409 kcal,"13,94g","1,300g","36,01g","4,69g","1,0g","20,69g","2,58g",Plat
16,Cobette,142 kcal,"2,00g","0,000g","26,00g","4,00g","3,0g","4,00g","0,00g",Accompagnement
17,Sundae Chocolat,209 kcal,"5,40g",-,"36,90g",-,,"3,30g",-,Dessert
18,Sauce Creamy Curry,85 kcal,"8,00g","1,000g","3,00g","0,10g",,"1,00g","0,00g",Sauce
19,Crispy Tenders,249 kcal,"14,40g",-,"11,50g",-,,"18,50g",-,Plat
20,Big Crousti Raclette,79 kcal,"4,00g","1,000g","8,00g","1,00g","1,0g","3,00g","0,00g",Plat
