,Unnamed: 0,Énergie,Gras,Gras Saturés,Glucides,Sucre,Fibre,Protéine,Sel,Catégorie
0,Frites (Moyenne),328 kcal,"16,00g","1,500g","41,00g","0,30g","4,0g","3,90g","1,38g",Accompagnement
1,Frites (Grande),434 kcal,"21,00g","2,000g","54,00g","0,50g","5,3g","5,10g","1,80g",Accompagnement
2,Nuggets (4),174 kcal,"9,00g","1,000g","13,00g","0,30g","0,6g","10,00g","0,70g",Plat
3,Deluxe Potatoes (Moyenne),227 kcal,"12,00g","1,100g","26,00g","0,00g","3,3g","2,80g","0,70g",Accompagnement
4,Cheeseburger,300 kcal,"13,00g","5,600g","30,00g","7,40g","2,1g","16,00g","1,50g",Plat
5,Big Mac,530 kcal,"27,00g","9,600g","42,00g","7,80g","3,1g","27,00g","2,30g",Plat
6,Nuggets (6),262 kcal,"13,00g","1,500g","19,00g","0,40g","1,0g","15,00g","1,10g",Plat
7,Frites (Petite),231 kcal,"11,00g","1,000g","29,00g","0,20g","2,8g","2,70g","0,38g",Accompagnement
8,Sauce Creamy Deluxe,79 kcal,"8,20g","1,000g","0,80g","0,30g","0,1g","0,20g","0,30g",Sauce
9,Croque McDo,258 kcal,"9,90g","5,700g","27,00g","5,20g","2,0g","14,00g","0,00g",Plat
10,P'tit Wrap Ranch ,315 kcal,"15,00g","3,000g","31,00g","3,00g","1,6g","12,00g","1,10g",Plat
11,Nuggets (9),392 kcal,"20,00g","2,200g","29,00g","0,60g","1,3g","23,00g","4,75g",Plat
12,Le CBO,653 kcal,"34,00g","7,600g","59,00g","7,00g","3,4g","26,00g","3,00g",Plat
13,Double Cheeseburger,451 kcal,"23,00g","11,000g","33,00g","6,80g","2,1g","27,00g","2,60g",Plat
14,Deluxe Potatoes (Grande),330 kcal,"17,00g","1,600g","37,00g","0,50g","4,8g","4,00g","1,00g",Accompagnement
15,Big Tasty,663 kcal,"41,00g","17,000g","35,00g","8,50g","2,9g","37,00g","3,70g",Plat
16,Lipton Ice Tea,65 kcal,"0,00g",-,"16,00g",-,,"0,00g",-,Boisson
17,Hamburger,261 kcal,"8,70g","3,300g","31,00g","5,80g","2,1g","13,00g","1,30g",Plat
18,Sauce Barbecue,40 kcal,"0,00g",-,"10,00g",-,,"0,00g","1,75g",Sauce
19,Petit Wrap ,320 kcal,"16,00g","3,000g","29,00g",-,"2,0g","14,00g",-,Plat
20,Wrap Poulet Bacon ,566 kcal,"28,00g","5,700g","54,00g","5,40g","4,0g","23,00g","2,80g",Plat
21,Royal Deluxe,534 kcal,"31,00g","11,000g","35,00g","7,20g","2,0g","29,00g","2,20g",Plat
22,Ketchup,13 kcal,"0,00g","0,000g","2,90g","2,90g","0,2g","0,20g","0,50g",Sauce
23,Filet-O-Fish,327 kcal,"13,00g","2,300g","38,00g","4,20g","2,0g","14,00g","1,60g",Plat
24,Mac Chicken,444 kcal,"19,00g","2,100g","45,00g","5,30g","4,0g","20,00g","2,00g",Plat
25,McFlurry M&M's Caramel,355 kcal,"14,00g",-,"50,00g",-,"1,0g","7,00g","0,00g",Dessert
26,McFirst Poulet Ranch,467 kcal,"18,00g","4,200g","51,00g","10,00g","4,4g","23,00g","2,60g",Plat
27,McFirst Bœuf ,455 kcal,"22,00g","8,800g","39,00g","9,00g","2,2g","24,00g","4,50g",Plat
28,Coca-Cola (Grande),210 kcal,"0,00g","0,000g","53,00g","53,00g","0,0g","0,00g","0,00g",Boisson
29,Coca-Cola Zero (Moyenne),0 kcal,"0,00g",-,"0,00g",-,,"0,00g","0,25g",Boisson
30,La Pommes-Frites-Sauce,27 kcal,"2,20g","0,100g","1,70g","1,10g","0,1g","0,10g","0,30g",Sauce
31,Brownie Chocolat Noisette,372 kcal,"22,00g","10,000g","38,00g","13,00g","1,0g","5,00g","1,25g",Dessert
32,Sundae Caramel,325 kcal,"9,00g","5,000g","54,00g","44,00g","1,0g","7,00g","0,75g",Dessert
33,Royal Cheese ,518 kcal,"26,00g","13,000g","38,00g","9,10g","2,9g","31,00g","2,90g",Plat
34,Coca-Cola (Moyen),170 kcal,"0,00g",-,"42,00g",-,,"0,00g",-,Boisson
35,McChicken,439 kcal,"19,00g","2,100g","45,00g","5,30g","4,0g","20,00g","2,00g",Plat
36,Sauce Potatoes,79 kcal,"9,10g",-,"1,10g",-,,"0,60g",-,Sauce
37,Sauce Curry,45 kcal,"0,10g","0,100g","10,00g","9,40g","0,0g","0,00g","0,75g",Sauce
38,Sauce Chinoise,51 kcal,"0,30g","0,000g","12,00g","9,80g","0,0g","0,10g","0,32g",Sauce
39,McMuffin Egg & Cheese,263 kcal,"10,00g","4,200g","27,00g","2,10g","1,9g","16,00g","1,10g",Plat
40,Wrap Chèvre,536 kcal,"26,00g","8,000g","59,00g","4,00g","3,0g","15,00g","2,00g",Plat
41,Salade Chicken Caesar,423 kcal,"21,00g","7,000g","32,00g","5,00g","3,0g","25,00g","0,01g",Plat
42,P'tit Wrap Chèvre,301 kcal,"14,00g","4,400g","34,00g","3,00g","2,4g","9,00g","0,91g",Plat
43,Double Cheeseburger Bacon,465 kcal,"24,00g","11,000g","33,00g","6,80g","2,2g","28,00g","2,70g",Plat
44,McFlurry Daim,327 kcal,"13,00g","6,200g","47,00g","44,00g","0,3g","5,80g",-,Dessert
45,Bacon & Egg McMuffin,277 kcal,"11,00g","4,600g","27,00g","2,10g","1,9g","17,00g","0,00g",Plat
46,Wavy Fries,338 kcal,"19,00g","2,300g","36,00g","1,50g","2,7g","3,30g","0,82g",Accompagnement
47,Nuggets (20),872 kcal,"45,00g","5,000g","65,00g","1,40g","2,8g","51,00g","3,80g",Plat
48,Royal Bacon,498 kcal,"25,00g","12,000g","34,00g","8,00g","2,2g","32,00g","4,50g",Plat
49,Sauce Moutarde,60 kcal,"3,00g",-,"7,00g",-,,"1,00g",-,Sauce
